sample_index,timestamp_seconds,raw_voltage,filtered_voltage,lead_off
0,2.521,1.5900,0.3148,0
1,2.996,1.7500,0.5991,0
2,3.115,1.8460,0.8526,0
3,3.161,1.4960,0.9737,0
4,3.616,2.2320,1.2084,0
5,3.711,1.5460,1.2664,0
6,4.098,1.9340,1.3893,0
7,4.134,2.1900,1.5185,0
8,4.215,2.2060,1.6319,0
9,4.254,2.1740,1.7228,0
10,4.286,2.2580,1.7911,0
11,4.353,1.6980,1.7306,0
12,4.380,1.6320,1.6818,0
13,4.406,1.4360,1.5871,0
14,4.434,1.8760,1.5884,0
15,4.462,1.5880,1.5467,0
16,4.510,1.4320,1.4792,0
17,4.541,1.3080,1.3791,0
18,4.571,1.4920,1.3440,0
19,4.599,1.7780,1.3817,0
20,4.626,1.4720,1.3332,0
21,4.653,1.8020,1.3570,0
22,4.681,1.8300,1.3917,0
23,4.709,1.3660,1.3198,0
24,4.737,0.3660,1.0517,0
25,4.775,1.2760,1.0222,0
26,4.799,2.1320,1.1679,0
27,4.826,1.6160,1.1824,0
28,4.854,1.9520,1.2598,0
29,4.884,2.1820,1.3564,0
30,4.914,2.1540,1.4308,0
31,4.942,1.8080,1.4238,0
32,4.970,2.1480,1.4725,0
33,4.998,1.9540,1.4688,0
34,5.025,1.3500,1.3559,0
35,5.055,1.5540,1.2944,0
36,5.083,1.8920,1.2996,0
37,5.111,1.4580,1.2334,0
38,5.139,1.5280,1.1929,0
39,5.166,1.8920,1.2095,0
40,5.193,1.3860,1.1336,0
41,5.220,1.6560,1.1383,0
42,5.248,1.5040,1.0850,0
43,5.275,1.2580,0.9956,0
44,5.303,1.8220,1.0541,0
45,5.334,1.9140,1.1006,0
46,5.401,0.8660,0.9231,0
47,5.459,1.5840,0.9391,0
48,5.513,2.1200,1.0442,0
49,5.578,1.7820,1.0569,0
50,5.612,1.9320,1.1102,0
51,5.639,1.9460,1.1426,0
52,5.666,2.0740,1.1838,0
53,5.694,1.4040,1.0964,0
54,5.721,1.6200,1.0652,0
55,5.753,1.7680,1.0501,0
56,5.780,1.6660,1.0310,0
57,5.806,1.4700,0.9836,0
58,5.835,1.8740,1.0031,0
59,5.868,1.8880,1.0231,0
60,5.904,1.5520,0.9915,0
61,5.932,1.5380,0.9445,0
62,5.959,1.2560,0.8371,0
63,5.987,1.8060,0.8825,0
64,6.014,1.7400,0.9007,0
65,6.042,1.4300,0.8355,0
66,6.072,1.4520,0.7980,0
67,6.103,0.5760,0.5997,0
68,6.135,1.9580,0.6982,0
69,6.162,1.7920,0.7426,0
70,6.190,1.7260,0.7894,0
71,6.218,2.1920,0.8993,0
72,6.245,1.7160,0.8764,0
73,6.271,2.0760,0.9560,0
74,6.299,2.3100,1.0568,0
75,6.329,1.9560,1.0448,0
76,6.357,1.6200,0.9859,0
77,6.384,1.9480,1.0058,0
78,6.410,1.3840,0.8855,0
79,6.436,1.8520,0.8924,0
80,6.463,1.6220,0.8619,0
81,6.491,1.4560,0.7885,0
82,6.518,1.8940,0.8113,0
83,6.545,1.4460,0.7554,0
84,6.571,1.7100,0.7584,0
85,6.601,1.7380,0.7483,0
86,6.629,1.3000,0.6676,0
87,6.657,1.3860,0.6250,0
88,6.685,1.9340,0.6769,0
89,6.712,1.4900,0.6385,0
90,6.738,1.7300,0.6724,0
91,6.765,1.6580,0.6604,0
92,6.792,0.0000,0.3198,0
93,6.819,1.4860,0.3621,0
94,6.846,1.8120,0.4404,0
95,6.876,1.6300,0.4717,0
96,6.904,2.0440,0.5942,0
97,6.931,2.0340,0.6716,0
98,6.959,1.6860,0.6598,0
99,6.986,2.2660,0.7805,0
100,7.014,2.1180,0.8367,0
101,7.041,1.6980,0.7898,0
102,7.067,1.9600,0.8130,0
103,7.094,1.4160,0.7196,0
104,7.122,1.6660,0.6862,0
105,7.153,1.8260,0.6933,0
106,7.180,1.6600,0.6722,0
107,7.209,1.3900,0.5939,0
108,7.235,1.9200,0.6306,0
109,7.262,1.4640,0.5768,0
110,7.289,1.6220,0.5670,0
111,7.317,1.9020,0.6003,0
112,7.344,1.1920,0.4924,0
113,7.370,1.5720,0.4897,0
114,7.397,1.5420,0.4638,0
115,7.434,1.9460,0.5271,0
116,7.461,1.5180,0.5057,0
117,7.489,1.7640,0.5252,0
118,7.517,1.3860,0.4552,0
119,7.544,0.1900,0.1796,0
120,7.570,1.6900,0.2506,0
121,7.597,1.9080,0.3314,0
122,7.625,1.7440,0.3926,0
123,7.652,2.2000,0.5308,0
124,7.680,1.8820,0.5469,0
125,7.710,1.7620,0.5550,0
126,7.740,2.0420,0.6290,0
127,7.767,2.3740,0.7243,0
128,7.794,1.5660,0.6456,0
129,7.822,1.7400,0.6393,0
130,7.851,1.9120,0.6404,0
131,7.879,1.5300,0.5603,0
132,7.906,1.6720,0.5523,0
133,7.935,1.9180,0.5776,0
134,7.963,1.5380,0.5053,0
135,7.993,1.3740,0.4406,0
136,8.020,1.8740,0.4836,0
137,8.046,1.5760,0.4350,0
138,8.074,1.5180,0.4047,0
139,8.101,1.9360,0.4696,0
140,8.129,1.4720,0.4048,0
141,8.156,1.4420,0.3564,0
